file_path,alpha,beta,k,measurement,runtime,score
data/inst_tuning/heur059_n_300_m_7867.txt,.40,.80,15,5,0.755748987197876,26764
data/inst_tuning/heur059_n_300_m_7867.txt,.40,.80,30,1,0.9110400676727295,24297
data/inst_tuning/heur059_n_300_m_7867.txt,.40,.80,30,2,0.6848461627960205,23946
data/inst_tuning/heur059_n_300_m_7867.txt,.40,.80,30,3,1.2609899044036865,24181
data/inst_tuning/heur059_n_300_m_7867.txt,.40,.80,30,4,0.8240439891815186,24331
data/inst_tuning/heur059_n_300_m_7867.txt,.40,.80,30,5,0.6841330528259277,24126
data/inst_tuning/heur059_n_300_m_7867.txt,.40,.80,45,1,0.7516288757324219,23107
data/inst_tuning/heur059_n_300_m_7867.txt,.40,.80,45,2,0.6903562545776367,23551
data/inst_tuning/heur059_n_300_m_7867.txt,.40,.80,45,3,0.6734530925750732,22920
data/inst_tuning/heur059_n_300_m_7867.txt,.40,.80,45,4,0.6120710372924805,22923
data/inst_tuning/heur059_n_300_m_7867.txt,.40,.80,45,5,0.9145908355712891,23652
data/inst_tuning/heur059_n_300_m_7867.txt,.40,.80,60,1,0.7720367908477783,22834
data/inst_tuning/heur059_n_300_m_7867.txt,.40,.80,60,2,0.7355191707611084,23692
data/inst_tuning/heur059_n_300_m_7867.txt,.40,.80,60,3,0.6391680240631104,23738
data/inst_tuning/heur059_n_300_m_7867.txt,.40,.80,60,4,0.7627372741699219,23099
data/inst_tuning/heur059_n_300_m_7867.txt,.40,.80,60,5,0.7203860282897949,22860
data/inst_tuning/heur059_n_300_m_7867.txt,.40,1.00,15,1,0.3523876667022705,23146
data/inst_tuning/heur059_n_300_m_7867.txt,.40,1.00,15,2,0.520643949508667,25534
data/inst_tuning/heur059_n_300_m_7867.txt,.40,1.00,15,3,2.3726139068603516,24777
data/inst_tuning/heur059_n_300_m_7867.txt,.40,1.00,15,4,0.49875974655151367,25292
data/inst_tuning/heur059_n_300_m_7867.txt,.40,1.00,15,5,0.37613987922668457,24251
data/inst_tuning/heur059_n_300_m_7867.txt,.40,1.00,30,1,1.0544390678405762,22527
data/inst_tuning/heur059_n_300_m_7867.txt,.40,1.00,30,2,0.37435412406921387,21959
data/inst_tuning/heur059_n_300_m_7867.txt,.40,1.00,30,3,0.4190800189971924,22981
data/inst_tuning/heur059_n_300_m_7867.txt,.40,1.00,30,4,0.45082998275756836,22904
data/inst_tuning/heur059_n_300_m_7867.txt,.40,1.00,30,5,0.37796998023986816,21269
data/inst_tuning/heur059_n_300_m_7867.txt,.40,1.00,45,1,0.49475693702697754,21290
data/inst_tuning/heur059_n_300_m_7867.txt,.40,1.00,45,2,0.4394400119781494,20165
data/inst_tuning/heur059_n_300_m_7867.txt,.40,1.00,45,3,0.564568042755127,22494
data/inst_tuning/heur059_n_300_m_7867.txt,.40,1.00,45,4,0.4491920471191406,21634
data/inst_tuning/heur059_n_300_m_7867.txt,.40,1.00,45,5,0.4700632095336914,20874
data/inst_tuning/heur059_n_300_m_7867.txt,.40,1.00,60,1,0.516491174697876,21226
data/inst_tuning/heur059_n_300_m_7867.txt,.40,1.00,60,2,0.45148682594299316,20777
data/inst_tuning/heur059_n_300_m_7867.txt,.40,1.00,60,3,0.9721107482910156,22696
data/inst_tuning/heur059_n_300_m_7867.txt,.40,1.00,60,4,0.512749195098877,22755
data/inst_tuning/heur059_n_300_m_7867.txt,.40,1.00,60,5,0.45076513290405273,21168
data/inst_tuning/heur059_n_300_m_7867.txt,.60,.60,15,1,0.43910908699035645,25969
data/inst_tuning/heur059_n_300_m_7867.txt,.60,.60,15,2,0.44376397132873535,25919
data/inst_tuning/heur059_n_300_m_7867.txt,.60,.60,15,3,0.45430922508239746,26327
data/inst_tuning/heur059_n_300_m_7867.txt,.60,.60,15,4,0.44045281410217285,26577
data/inst_tuning/heur059_n_300_m_7867.txt,.60,.60,15,5,0.3857851028442383,22696
data/inst_tuning/heur059_n_300_m_7867.txt,.60,.60,30,1,0.5768351554870605,23354
data/inst_tuning/heur059_n_300_m_7867.txt,.60,.60,30,2,0.4783651828765869,21691
data/inst_tuning/heur059_n_300_m_7867.txt,.60,.60,30,3,0.46369218826293945,21811
data/inst_tuning/heur059_n_300_m_7867.txt,.60,.60,30,4,0.5086171627044678,23433
data/inst_tuning/heur059_n_300_m_7867.txt,.60,.60,30,5,0.5151739120483398,22989
data/inst_tuning/heur059_n_300_m_7867.txt,.60,.60,45,1,0.6117329597473145,23016
data/inst_tuning/heur059_n_300_m_7867.txt,.60,.60,45,2,0.5030262470245361,21384
data/inst_tuning/heur059_n_300_m_7867.txt,.60,.60,45,3,0.5845272541046143,22748
data/inst_tuning/heur059_n_300_m_7867.txt,.60,.60,45,4,0.5308651924133301,22990
data/inst_tuning/heur059_n_300_m_7867.txt,.60,.60,45,5,0.6307229995727539,23432
data/inst_tuning/heur059_n_300_m_7867.txt,.60,.60,60,1,0.4897639751434326,20648
data/inst_tuning/heur059_n_300_m_7867.txt,.60,.60,60,2,0.5296609401702881,21910
data/inst_tuning/heur059_n_300_m_7867.txt,.60,.60,60,3,0.5607080459594727,22313
data/inst_tuning/heur059_n_300_m_7867.txt,.60,.60,60,4,0.6027662754058838,22961
data/inst_tuning/heur059_n_300_m_7867.txt,.60,.60,60,5,0.535963773727417,23011
data/inst_tuning/heur059_n_300_m_7867.txt,.60,.80,15,1,0.4409339427947998,26567
data/inst_tuning/heur059_n_300_m_7867.txt,.60,.80,15,2,0.48104190826416016,26696
data/inst_tuning/heur059_n_300_m_7867.txt,.60,.80,15,3,0.4474501609802246,27204
data/inst_tuning/heur059_n_300_m_7867.txt,.60,.80,15,4,0.49570775032043457,26666
data/inst_tuning/heur059_n_300_m_7867.txt,.60,.80,15,5,0.4359269142150879,26497
data/inst_tuning/heur059_n_300_m_7867.txt,.60,.80,30,1,0.5910689830780029,23995
data/inst_tuning/heur059_n_300_m_7867.txt,.60,.80,30,2,0.5876848697662354,23702
data/inst_tuning/heur059_n_300_m_7867.txt,.60,.80,30,3,0.5599658489227295,23776
data/inst_tuning/heur059_n_300_m_7867.txt,.60,.80,30,4,0.5422189235687256,24322
data/inst_tuning/heur059_n_300_m_7867.txt,.60,.80,30,5,0.5517270565032959,23822
data/inst_tuning/heur059_n_300_m_7867.txt,.60,.80,45,1,0.5873401165008545,23599
data/inst_tuning/heur059_n_300_m_7867.txt,.60,.80,45,2,0.5821530818939209,23868
data/inst_tuning/heur059_n_300_m_7867.txt,.60,.80,45,3,0.6305370330810547,23127
data/inst_tuning/heur059_n_300_m_7867.txt,.60,.80,45,4,0.5967638492584229,23518
data/inst_tuning/heur059_n_300_m_7867.txt,.60,.80,45,5,0.6201319694519043,23282
data/inst_tuning/heur059_n_300_m_7867.txt,.60,.80,60,1,0.6233789920806885,22995
data/inst_tuning/heur059_n_300_m_7867.txt,.60,.80,60,2,0.6620650291442871,22603
data/inst_tuning/heur059_n_300_m_7867.txt,.60,.80,60,3,0.6431858539581299,23007
data/inst_tuning/heur059_n_300_m_7867.txt,.60,.80,60,4,0.6505630016326904,23267
data/inst_tuning/heur059_n_300_m_7867.txt,.60,.80,60,5,0.6070048809051514,23532
data/inst_tuning/heur059_n_300_m_7867.txt,.60,1.00,15,1,2.8114640712738037,27358
data/inst_tuning/heur059_n_300_m_7867.txt,.60,1.00,15,2,0.4253089427947998,24041
